#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2017-01-31T21:51:18 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ589106004be6	
#INFO	-out.max=unlimited	
#INFO	queryParameters=26	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/AJ/146/131&tab:{J/AJ/146/131/standards}&key:source=J/AJ/146/131/standards&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/146/131/standards
#-order=I
#-out=Name
#-out=N
#-out=<Vmag>
#-out=e_<Vmag>
#-out=<B-V>
#-out=<U-B>
#-out=<V-R>
#-out=<R-I>
#-out=<V-I>
#-out=No
#-out=Nn
#-out=RAJ2000
#-out=DEJ2000
#-out=2MASS
#-out=pmRA
#-out=pmDE
#-out=SimbadName
#

#RESOURCE=yCat_51460131
#Name: J/AJ/146/131
#Title: UBVRI standard stars at +50{deg} declination (Landolt, 2013)
#Table	J_AJ_146_131_standards:
#Name: J/AJ/146/131/standards
#Title: UBVRI photometry of standard stars at Northern Declinations {\em (Table2)}, and at the Celestial Equator {\em (Table3)}, completed with accurate astrometry {\em (Table5)}
#Column	Name	(a12)	Standard star name (G1)	[ucd=meta.id;meta.main]
#Column	N	(A1)	{\bf N} indicates a note on this star	[ucd=meta.ref.url]
#Column	<Vmag>	(F6.3)	Mean V band magnitude	[ucd=phot.mag;em.opt.V]
#Column	e_<Vmag>	(F7.4)	? Mean error in <Vmag>	[ucd=stat.error;phot.mag;em.opt.V]
#Column	<B-V>	(F6.3)	Mean B-V color index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	<U-B>	(F6.3)	Mean U-B color index	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	<V-R>	(F6.3)	Mean V-R color index	[ucd=phot.color;em.opt.V;em.opt.R]
#Column	<R-I>	(F6.3)	? Mean R-I color index	[ucd=phot.color;em.opt.R;em.opt.I]
#Column	<V-I>	(F6.3)	? Mean V-I color index	[ucd=phot.color;em.opt.V;em.opt.I]
#Column	No	(I2)	Number of times that each star was observed	[ucd=meta.number]
#Column	Nn	(I2)	Number of nights during which a star was observed	[ucd=meta.number]
#Column	RAJ2000	(A12)	Hour of Right Ascension (J2000) (1)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Degree of Declination (J2000) (1)	[ucd=pos.eq.dec;meta.main]
#Column	2MASS	(A17)	2MASS name (cat. II/246) (JHHMMSSss+DDMMSSs)	[ucd=meta.id]
#Column	pmRA	(F6.1)	Proper motion in Right Ascension (1)	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F6.1)	Proper motion in Declination (1)	[ucd=pos.pm;pos.eq.dec]
#Column	SimbadName	(A23)	Designation understandable by the {\bf\fg{FireBrick}Simbad} data-base	[ucd=meta.id]
Name|N|<Vmag>|e_<Vmag>|<B-V>|<U-B>|<V-R>|<R-I>|<V-I>|No|Nn|RAJ2000|DEJ2000|2MASS|pmRA|pmDE|SimbadName
SA 20-39    |N| 9.353| 0.0013| 0.472| 0.092| 0.277| 0.280| 0.555|10| 5|00 45 34.099|+45 36 48.21|J00453410+4536482| -11.8|  -6.3|2MASS J00453410+4536482
SA 20-291   | |10.454| 0.0009| 0.794| 0.429| 0.425| 0.388| 0.812| 8| 5|00 45 37.914|+45 56 54.86|J00453791+4556548|  66.6|   8.4|2MASS J00453791+4556548
SA 20-43    |N|10.412| 0.0006| 0.764| 0.301| 0.430| 0.409| 0.838| 6| 3|00 45 42.450|+45 35 15.39|J00454244+4535153|   8.5|  -7.4|2MASS J00454244+4535153
SA 20-297   |N| 8.907| 0.0007|-0.054|-0.417|-0.015|-0.020|-0.032| 6| 3|00 45 51.821|+45 53 44.79|J00455182+4553447|  -2.1|  -4.6|2MASS J00455182+4553447
SA 20-420   | | 9.520| 0.0006| 1.007| 0.733| 0.534| 0.500| 1.028|14| 8|00 45 56.621|+46 04 33.36|J00455661+4604332|   4.4|   1.7|2MASS J00455661+4604332
SA 20-163   | |10.458| 0.0004| 1.029| 0.872| 0.554| 0.498| 1.042|11| 6|00 45 59.779|+45 48 13.11|J00455976+4548130|  72.6|  12.8|2MASS J00455976+4548130
SA 20-431   | | 9.951| 0.0016| 1.091| 0.974| 0.571| 0.521| 1.088|12| 7|00 46 21.507|+46 06 30.24|J00462151+4606302|  -2.9|  -5.1|2MASS J00462151+4606302
SA 20-435   | |11.307| 0.0007| 0.664| 0.199| 0.377| 0.354| 0.732|12| 7|00 46 25.267|+46 02 50.54|J00462527+4602505|  -1.1| -16.4|2MASS J00462527+4602505
SA 20-182   | |12.732| 0.0027| 1.023| 0.763| 0.548| 0.517| 1.066|11| 6|00 46 31.259|+45 50 25.68|J00463125+4550256|  -5.4|  -1.1|2MASS J00463125+4550256
SA 20-186   | |11.109| 0.0005| 0.418| 0.115| 0.259| 0.275| 0.531|14| 8|00 46 34.507|+45 50 50.56|J00463450+4550505|   8.2|   2.0|2MASS J00463450+4550505
SA 20-446   |N|10.005| 0.0004| 0.246| 0.161| 0.127| 0.129| 0.259|14| 7|00 46 48.808|+46 10 50.01|J00464880+4610499|  -0.5|  -7.1|2MASS J00464880+4610499
SA 20-338   | |12.475| 0.0022| 0.515| 0.023| 0.303| 0.301| 0.608|10| 5|00 47 08.418|+45 54 16.58|J00470842+4554165|   7.0|  -1.4|2MASS J00470842+4554165
SA 20-208   | |12.628| 0.0009| 0.606| 0.010| 0.359| 0.361| 0.722| 9| 4|00 47 10.514|+45 52 33.54|J00471051+4552335| -11.6|  14.5|2MASS J00471051+4552335
SA 20-340   | |10.127| 0.0014| 0.968| 0.637| 0.514| 0.480| 0.995|10| 5|00 47 11.482|+45 53 22.77|J00471146+4553226|   8.7| -12.0|2MASS J00471146+4553226
SA 20-456   |N| 9.543| 0.0006| 0.090| 0.067| 0.040| 0.041| 0.080|14| 7|00 47 12.443|+46 10 57.01|J00471244+4610570|  -6.6|  -4.9|2MASS J00471244+4610570
SA 20-342   | |14.650| 0.0007| 0.923| 0.556| 0.516| 0.460| 0.976|15| 7|00 47 15.064|+45 54 09.59|J00471506+4554095|  -1.5|  -6.1|2MASS J00471506+4554095
SA 20-343   | |14.124| 0.0017| 0.730| 0.289| 0.412| 0.384| 0.803|12| 6|00 47 15.351|+45 55 13.18|J00471535+4555131|  -8.8|  -5.0|2MASS J00471535+4555131
SA 20-345   | |14.406| 0.0026| 0.755| 0.286| 0.412| 0.382| 0.797|17| 8|00 47 19.094|+45 53 29.19|J00471909+4553292|   7.2| -14.2|2MASS J00471909+4553292
SA 20-346   | |14.875| 0.0013| 0.530|-0.036| 0.340| 0.317| 0.648|21| 9|00 47 21.152|+45 53 42.01|J00472114+4553421|  -1.9|  -6.4|2MASS J00472114+4553421
GD 273      |N|15.694| 0.0071| 0.084|-0.665|-0.069|-0.084|-0.152| 2| 1|01 06 20.426|+56 04 56.53|J01062040+5604563| 108.3| -37.8|2MASS J01062040+5604563
GD 10       |N|15.456| 0.0007| 0.198|-0.621| 0.054| 0.127| 0.155|10| 4|01 06 53.995|+39 30 56.92|J01065396+3930568| 171.0|  16.0|2MASS J01065396+3930568
GD 10A      | |13.694| 0.0006| 0.824| 0.453| 0.461| 0.422| 0.880| 7| 4|01 06 58.606|+39 30 53.12|J01065860+3930531|  18.9|  -8.3|2MASS J01065860+3930531
GD 10B      | |14.194| 0.0018| 0.572| 0.013| 0.332| 0.334| 0.668| 8| 4|01 07 00.369|+39 31 35.07|J01070037+3931350|  -6.0|  -2.1|2MASS J01070037+3931350
GD 10C      | |14.388| 0.0019| 0.522|-0.037| 0.307| 0.328| 0.632| 6| 3|01 07 05.379|+39 31 28.37|J01070537+3931283|   2.2|  -6.5|2MASS J01070537+3931283
GD 11       |N|15.235|       |-0.223|-1.058|-0.075|-0.164|-0.238| 1| 1|01 09 23.224|+37 32 45.78|J01092318+3732458| 157.0| -39.0|2MASS J01092318+3732458
GD 275      |N|15.683|       | 0.144|-0.526| 0.029|-0.058|-0.027| 1| 1|01 18 54.162|+52 27 13.59|J01185423+5227137|-162.0| -30.0|2MASS J01185423+5227137
GD 275A     | |15.019|       | 1.483| 1.363| 0.821| 0.776| 1.596| 1| 1|01 18 54.297|+52 27 49.99|J01185430+5227499|   4.5|   3.7|2MASS J01185430+5227499
GD 418      |N|14.951|       | 0.785| 0.080| 0.510| 0.503| 1.013| 1| 1|01 23 24.123|+64 54 17.02|J01232403+6454172| 128.0| -60.0|2MASS J01232403+6454172
GD 276      |N|16.501| 0.0049| 0.170|-0.633| 0.070| 0.044| 0.113| 2| 1|01 23 50.663|+47 47 14.62|J01235066+4747146|  78.0|  22.0|2MASS J01235066+4747146
GD 277      |N|13.536| 0.0009|-0.105|-0.906|-0.104|-0.107|-0.213|14| 6|01 29 23.992|+51 08 46.99|J01292398+5108471|  33.9|-102.8|2MASS J01292398+5108471
GD 277A     | |13.811| 0.0017| 1.258| 0.980| 0.707| 0.671| 1.383|13| 6|01 29 28.971|+51 09 19.49|J01292897+5109194|  -2.7|  -2.1|2MASS J01292897+5109194
GD 277B     | |14.524| 0.0019| 0.659| 0.276| 0.427| 0.427| 0.857|14| 6|01 29 29.917|+51 08 02.46|J01292992+5108025|  -6.4|  -5.4|2MASS J01292992+5108025
GD 13A      | |15.001|       | 0.751| 0.308| 0.439| 0.386| 0.826| 1| 1|01 29 40.762|+42 27 54.91|J01294076+4227548|   4.1|  -5.1|2MASS J01294076+4227548
GD 13       |N|14.885|       |-0.089|-0.914|-0.001| 0.247| 0.236| 1| 1|01 29 42.654|+42 28 18.01|J01294264+4228180|  92.4|   0.9|2MASS J01294264+4228180
GD 278      |N|14.899| 0.0087| 0.186|-0.240| 0.072| 0.035| 0.099| 4| 3|01 30 58.075|+53 21 39.40|J01305806+5321397|  66.0| -84.0|2MASS J01305806+5321397
GD 278A     | |14.851| 0.0020| 1.447| 1.724| 0.807| 0.753| 1.561| 5| 3|01 30 58.464|+53 22 17.91|J01305806+5321397|   2.7|   4.0|UCAC4 717-012428
GD 278B     | |14.205| 0.0010| 0.693| 0.190| 0.449| 0.467| 0.920| 4| 2|01 31 06.659|+53 20 17.12|J01310666+5320170|   4.0| -11.1|2MASS J01310666+5320170
GD 421A     | |14.579| 0.0021| 2.597| 2.140| 1.544| 1.391| 2.930| 2| 1|01 50 28.859|+67 44 10.59|J01502885+6744105|  -3.8|  -0.8|2MASS J01502885+6744105
GD 421C     | |12.158| 0.0007| 2.375| 2.636| 1.349| 1.232| 2.576| 2| 1|01 50 34.378|+67 41 53.09|J01503435+6741530|  -1.3|  -8.9|2MASS J01503435+6741530
GD 421B     | |14.407| 0.0021| 1.197| 0.812| 0.654| 0.603| 1.256| 2| 1|01 50 35.942|+67 43 57.79|J01503591+6743577|  -7.5| -30.6|2MASS J01503591+6743577
GD 421      |N|14.414| 0.0055|-0.213|-1.068|-0.095|-0.062|-0.158| 4| 2|01 51 10.260|+67 39 32.25|J01511028+6739312| 146.0|  -2.0|2MASS J01511028+6739312
GD 421D     | |12.455| 0.0028| 1.128| 0.712| 0.678| 0.669| 1.345| 2| 1|01 51 31.415|+67 42 39.05|J01513141+6742389|  11.4| -13.6|2MASS J01513141+6742389
GD 279F     | |13.946| 0.0050| 0.568| 0.095| 0.343| 0.338| 0.679| 6| 3|01 51 55.046|+46 58 52.28|J01515504+4658522|  -1.9|  -5.8|2MASS J01515504+4658522
GD 279H     |N|10.389| 0.0010| 1.118| 0.958| 0.605| 0.547| 1.148| 8| 4|01 51 55.520|+47 01 37.32|J01515551+4701373|  -9.1| -13.5|2MASS J01515551+4701373
GD 279D     | |13.241| 0.0005| 0.558| 0.027| 0.334| 0.332| 0.662| 8| 4|01 51 59.862|+47 03 02.63|J01515985+4703025|  -1.1|  -7.5|2MASS J01515985+4703025
GD 279C     | |13.913| 0.0011| 1.068| 0.780| 0.571| 0.520| 1.102|10| 5|01 52 00.142|+47 01 40.56|J01520013+4701405| -25.9|   0.2|2MASS J01520013+4701405
GD 279B     |N|11.714| 0.0009| 0.267| 0.138| 0.146| 0.165| 0.313| 8| 4|01 52 02.409|+47 01 41.48|J01520240+4701414|  -6.8|  -1.3|2MASS J01520240+4701414
GD 279      |N|12.457| 0.0010| 0.087|-0.613|-0.079|-0.056|-0.132|12| 7|01 52 02.960|+47 00 06.64|J01520295+4700066|   2.2| 121.1|2MASS J01520295+4700066
GD 279A     | |13.050| 0.0005| 0.996| 0.686| 0.554| 0.519| 1.073|13| 6|01 52 02.968|+47 00 34.16|J01520296+4700340|  -1.1| -14.8|2MASS J01520296+4700340
GD 279E     | |14.011| 0.0007| 0.736| 0.281| 0.415| 0.395| 0.813| 8| 4|01 52 03.399|+47 03 18.06|J01520339+4703180|  -2.3| -11.4|2MASS J01520339+4703180
GD 279G     | |14.156| 0.0033| 0.535| 0.029| 0.325| 0.342| 0.671| 8| 4|01 52 05.094|+46 58 51.38|J01520509+4658513| -13.1|  -6.0|2MASS J01520509+4658513
GD 279I     | |14.443| 0.0028| 0.979| 0.582| 0.545| 0.535| 1.079| 8| 4|01 52 09.789|+47 00 03.75|J01520878+4700037|   6.9|   5.9|2MASS J01520878+4700037
GD 281      |N|13.955|       | 0.587|-0.047| 0.386| 0.368| 0.754| 1| 1|02 03 12.919|+54 48 28.68|J02031292+5448286| 121.2| -31.8|2MASS J02031292+5448286
GD 283      |N|13.736|       | 0.145|-0.533|-0.029|-0.008|-0.039| 1| 1|02 35 30.708|+57 15 24.50|J02353067+5715247| 193.5| -30.4|2MASS J02353067+5715247
GD 38       |N|15.740|       |-0.214|-1.102|-0.164|-0.184|-0.346| 1| 1|03 02 30.970|+38 01 00.10|J03023094+3800595|  99.0| -39.0|2MASS J03023094+3800595
SA 23-195   | |12.125| 0.0008| 0.688| 0.275| 0.421| 0.429| 0.855|20|10|03 43 51.964|+45 10 02.52|J03435196+4510025|  -2.0|  -6.0|2MASS J03435196+4510025
SA 23-198   | |11.559| 0.0009| 0.192|-0.389| 0.133| 0.144| 0.274|18|10|03 43 56.438|+45 09 41.46|J03435643+4509414|  -2.6|  -1.9|2MASS J03435643+4509414
SA 23-15    | |10.658| 0.0006| 0.375| 0.167| 0.202| 0.213| 0.415|12| 7|03 44 05.128|+45 06 03.00|J03440513+4506029|  -5.2|  -5.8|2MASS J03440513+4506029
SA 23-402   | | 9.835| 0.0008| 0.172|-0.455| 0.110| 0.114| 0.226|17| 9|03 44 23.010|+45 23 37.73|J03442300+4523377|  -1.4|  -1.1|2MASS J03442300+4523377
SA 23-241   | |12.312| 0.0013| 0.768| 0.249| 0.458| 0.448| 0.904|13| 7|03 44 36.960|+45 17 59.22|J03443695+4517592|   8.7|  -0.8|2MASS J03443695+4517592
SA 23-45    | | 9.972| 0.0013| 1.249| 1.160| 0.663| 0.594| 1.250|13| 7|03 44 42.135|+45 04 43.53|J03444209+4504436|  -4.6|   1.5|2MASS J03444209+4504436
SA 23-246   | |11.700| 0.0010| 0.278| 0.124| 0.154| 0.165| 0.318|11| 6|03 44 43.903|+45 18 01.25|J03444389+4518012|  -0.7|  -2.4|2MASS J03444389+4518012
SA 23-561   | |10.546| 0.0005| 0.515| 0.391| 0.287| 0.301| 0.589| 9| 5|03 44 53.412|+45 30 25.87|J03445340+4530258|  -2.7|  -2.1|2MASS J03445340+4530258
SA 23-418   | |11.716| 0.0005| 0.700| 0.154| 0.407| 0.385| 0.798|10| 5|03 44 56.347|+45 18 59.93|J03445634+4518599| -28.2| -27.6|2MASS J03445634+4518599
SA 23-57    |N|10.368| 0.0007| 1.879| 2.213| 1.169| 1.265| 2.443|16| 8|03 44 59.361|+45 03 47.90|J03445933+4503479|  -3.4|   0.4|2MASS J03445933+4503479
SA 23-264   | |10.335| 0.0012| 1.098| 0.993| 0.591| 0.521| 1.109| 9| 5|03 45 04.420|+45 17 48.41|J03450441+4517485|  -6.2| -33.3|2MASS J03450441+4517485
SA 23-433   | |14.526| 0.0013| 0.658| 0.380| 0.386| 0.386| 0.775| 6| 3|03 45 27.133|+45 28 46.63|J03452713+4528466|  -6.7|  -3.6|2MASS J03452713+4528466
SA 23-435   | |13.474| 0.0012| 0.755| 0.220| 0.469| 0.476| 0.945|15| 7|03 45 31.545|+45 27 19.89|J03453154+4527199| -11.5|  -1.6|2MASS J03453154+4527199
SA 23-436   | |13.876| 0.0016| 1.645| 1.671| 0.915| 0.840| 1.762|20| 8|03 45 33.388|+45 27 12.92|J03453338+4527129| -10.7|   2.7|2MASS J03453338+4527129
SA 23-438   | |13.327| 0.0007| 0.886| 0.362| 0.511| 0.514| 1.024| 2| 1|03 45 35.825|+45 24 31.45|J03453582+4524314|  34.0| -34.8|2MASS J03453582+4524314
SA 23-439   | |14.999| 0.0057| 0.869| 0.340| 0.512| 0.537| 1.049| 2| 1|03 45 38.594|+45 25 15.33|J03453859+4525154|  -3.9|   0.0|2MASS J03453859+4525154
SA 23-440   | |12.030| 0.0035| 0.861| 0.423| 0.493| 0.464| 0.964| 3| 2|03 45 39.288|+45 28 12.70|J03453928+4528127| -16.6|  -8.8|2MASS J03453928+4528127
SA 23-441   | |14.512| 0.0098| 1.004| 0.511| 0.573| 0.556| 1.132| 7| 3|03 45 39.328|+45 25 37.28|J03453931+4525373|  18.5|  -3.9|2MASS J03453931+4525373
SA 23-443   | |10.691| 0.0014| 0.604| 0.195| 0.368| 0.369| 0.740| 2| 1|03 45 45.754|+45 25 33.98|J03454575+4525340|   8.3|  -1.7|2MASS J03454575+4525340
SA 23-444   | |15.433| 0.0030| 0.932| 0.470| 0.550| 0.514| 1.071| 4| 2|03 45 48.007|+45 27 17.36|J03454800+4527174|   0.6|  -7.4|2MASS J03454800+4527174
SA 23-300   | | 9.437| 0.0007| 0.474|-0.005| 0.293| 0.287| 0.579| 9| 5|03 45 56.378|+45 14 43.91|J03455639+4514438| -31.4|  -1.2|2MASS J03455639+4514438
GD 61C      | |13.731| 0.0009| 0.548| 0.320| 0.344| 0.357| 0.697|14| 7|04 38 27.184|+41 10 07.68|J04382718+4110077|  -1.2|  -3.4|2MASS J04382718+4110077
GD 61B      | |14.129| 0.0006| 0.317| 0.139| 0.191| 0.232| 0.431|14| 7|04 38 29.122|+41 11 00.48|J04382911+4111005|   0.0|   2.1|2MASS J04382911+4111005
GD 61       |N|14.879| 0.0008|-0.112|-0.966|-0.053|-0.043|-0.091|16| 7|04 38 39.369|+41 09 32.37|J04383938+4109325|   0.5|-106.6|2MASS J04383938+4109325
GD 61A      | |14.420| 0.0005| 0.415| 0.227| 0.261| 0.327| 0.595|14| 7|04 38 41.533|+41 10 51.24|J04384153+4110512|   2.2|   8.1|2MASS J04384153+4110512
GD 64D      | |12.799| 0.0014| 0.595| 0.190| 0.370| 0.368| 0.739| 2| 1|04 57 08.313|+41 55 12.86|J04570831+4155129|   2.7|  -6.5|2MASS J04570831+4155129
GD 64B      | |13.923| 0.0014| 0.700| 0.151| 0.443| 0.432| 0.880| 2| 1|04 57 18.332|+41 55 28.12|J04571833+4155281|  -4.1|  -2.0|2MASS J04571833+4155281
GD 64C      | |12.915| 0.0071| 0.625| 0.075| 0.406| 0.406| 0.815| 2| 1|04 57 21.370|+41 54 23.70|J04572137+4154236|  -5.6|  -1.9|2MASS J04572137+4154236
GD 64       |N|13.976| 0.0021| 0.063|-0.559|-0.074|-0.069|-0.146| 3| 2|04 57 22.540|+41 55 56.45|J04572254+4155567|  13.2|-212.3|2MASS J04572254+4155567
GD 64A      | |14.438| 0.0058| 0.658| 0.114| 0.414| 0.416| 0.834| 3| 2|04 57 25.311|+41 55 30.57|J04572531+4155305|   1.6|  -3.9|2MASS J04572531+4155305
GD 64E      | |11.531| 0.0007| 0.239| 0.071| 0.144| 0.171| 0.313| 2| 1|04 57 26.257|+41 55 52.18|J04572625+4155521|   0.6|  -2.4|2MASS J04572625+4155521
GD 64F      | |12.195| 0.0014| 1.819| 2.177| 1.082| 1.036| 2.123| 2| 1|04 57 28.704|+41 55 50.45|J04572868+4155505|  -0.3|  -3.3|2MASS J04572868+4155505
SA 26-219   | |10.632| 0.0011| 0.509| 0.004| 0.323| 0.326| 0.651|15| 7|06 42 23.097|+44 47 54.40|J06422308+4447544|  -3.3|   5.3|2MASS J06422308+4447544
SA 26-27    | |10.860| 0.0009| 0.611| 0.113| 0.375| 0.355| 0.732|10| 5|06 42 39.409|+44 31 47.34|J06423940+4431474|  -2.3|  -5.6|2MASS J06423940+4431474
SA 26-231   | |10.732| 0.0011| 1.117| 0.920| 0.599| 0.549| 1.144|14| 7|06 42 51.320|+44 51 18.46|J06425131+4451184|  -8.5|  -4.8|2MASS J06425131+4451184
SA 26-135   |N| 9.117| 0.0019| 1.110| 0.918| 0.583| 0.530| 1.113| 7| 4|06 42 58.715|+44 38 52.53|J06425871+4438525|  -2.8|  -2.9|2MASS J06425871+4438525
SA 26-234   |N| 9.371| 0.0011| 0.583| 0.150| 0.339| 0.317| 0.655|12| 6|06 43 07.334|+44 50 32.75|J06430733+4450326|   3.8| -16.9|2MASS J06430733+4450326
SA 26-139   | |11.335| 0.0019| 0.838| 0.542| 0.468| 0.404| 0.875|13| 7|06 43 09.275|+44 40 03.79|J06430927+4440038| -14.2|  -0.6|2MASS J06430927+4440038
