#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2017-01-31T21:47:21 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ589104a83d36	
#INFO	-out.max=unlimited	
#INFO	queryParameters=24	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-order=I
#-out.src=J/AJ/137/4186/stars
#-nav=cat:J/AJ/137/4186&tab:{J/AJ/137/4186/stars}&key:source=J/AJ/137/4186&HTTPPRM:&&-ref=VIZ589104a83d36&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=Name&-out=Vmag&-out=B-V&-out=U-B&-out=V-R&-out=R-I&-out=V-I&-out=RAJ2000&-out=DEJ2000&-out=pmRA&-out=pmDE&-out=SimbadName&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/AJ/137/4186/stars
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/137/4186/stars
#-order=I
#-out=Name
#-out=Vmag
#-out=B-V
#-out=U-B
#-out=V-R
#-out=R-I
#-out=V-I
#-out=RAJ2000
#-out=DEJ2000
#-out=pmRA
#-out=pmDE
#-out=SimbadName
#

#RESOURCE=yCat_51374186
#Name: J/AJ/137/4186
#Title: UBVRI standards around celestial equator (Landolt, 2009)
#Table	J_AJ_137_4186_stars:
#Name: J/AJ/137/4186/stars
#Title: UBVRI photometry, accurate coordinates and proper motions of standard stars {\em(tables 2 and 5 of the paper)}
#Column	Name	(a11)	Star name	[ucd=meta.id;meta.main]
#Column	Vmag	(F6.3)	The Johnson V band magnitude	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F7.4)	? Mean error of the mean of Vmag	[ucd=stat.error;phot.mag;em.opt.V]
#Column	B-V	(F6.3)	The Johnson (B-V) color index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	e_B-V	(F7.4)	? Mean error of the mean of B-V	[ucd=stat.error;phot.color;em.opt.B]
#Column	U-B	(F6.3)	The Johnson (U-B) color index	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	e_U-B	(F7.4)	? Mean error of the mean of U-B	[ucd=stat.error;phot.color;em.opt.U]
#Column	V-R	(F6.3)	The Johnson-Cousins (V-R) color index	[ucd=phot.color;em.opt.V;em.opt.R]
#Column	e_V-R	(F7.4)	? Mean error of the mean of V-R	[ucd=stat.error;phot.color;em.opt.V]
#Column	R-I	(F6.3)	The Cousins (R-I) color index	[ucd=phot.color;em.opt.R;em.opt.I]
#Column	e_R-I	(F7.4)	? Mean error of the mean of R-I	[ucd=stat.error;phot.color;em.opt.R]
#Column	V-I	(F6.3)	The Johnson-Cousins (V-I) color index	[ucd=phot.color;em.opt.V;em.opt.I]
#Column	e_V-I	(F7.4)	? Mean error of the mean of V-I	[ucd=stat.error;phot.color;em.opt.V]
#Column	Nobs	(I3)	Number of times star was observed	[ucd=meta.number]
#Column	Nnig	(I3)	Number of nights star was observed	[ucd=meta.number]
#Column	RAJ2000	(A12)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	UCAC2	(A8)	The UCAC2 identifier, Cat. I/289	[ucd=meta.id]
#Column	2MASS-PSC	(A17)	The 2MASS-PSC identifier, Cat. II/246	[ucd=meta.id]
#Column	pmRA	(F8.2)	Proper motion in Right Ascension	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F8.2)	Proper motion in Declination	[ucd=pos.pm;pos.eq.dec]
#Column	Ref	(I1)	Proper motion reference (1)	[ucd=meta.ref;pos.pm;pos.frame]
#Column	SimbadName	(a20)	Designation understandable by the {\bf\fg{FireBrick}Simbad} data-base	[ucd=meta.id]
Name|Vmag|e_Vmag|B-V|e_B-V|U-B|e_U-B|V-R|e_V-R|R-I|e_R-I|V-I|e_V-I|Nobs|Nnig|RAJ2000|DEJ2000|UCAC2|2MASS-PSC|pmRA|pmDE|Ref|SimbadName
F 24A      |13.822| 0.0016| 0.525| 0.0025| 0.034| 0.0036| 0.314| 0.0016| 0.319| 0.0026| 0.635| 0.0031| 20| 10|02 35 16.611|+03 43 16.78|32986675|J02351660+0343167|    7.80|   -6.10|1|[L92b] F 24A
F 24B      |13.546| 0.0018| 0.668| 0.0020| 0.188| 0.0035| 0.382| 0.0015| 0.367| 0.0021| 0.749| 0.0020| 19| 10|02 35 18.333|+03 42 40.37|32986677|J02351833+0342403|   18.80|   -6.50|1|[L92b] F 24B
F 24C      |11.761| 0.0015| 1.133| 0.0012| 1.007| 0.0036| 0.598| 0.0005| 0.535| 0.0011| 1.127| 0.0008| 18|  9|02 35 26.318|+03 41 50.41|32986680|J02352632+0341503|  -12.00|   -7.60|1|[L92b] F 24C
94 171     |12.659| 0.0028| 0.817| 0.0035| 0.304| 0.0045| 0.480| 0.0035| 0.483| 0.0019| 0.964| 0.0038| 18|  9|02 53 38.805|+00 17 18.60|31800332|J02533880+0017183|   18.00|   10.30|1|SA 94-171
94 296     |12.255| 0.0021| 0.750| 0.0014| 0.235| 0.0014| 0.415| 0.0021| 0.387| 0.0021| 0.803|       |  2|  1|02 55 19.985|+00 28 11.99|31800393|J02551998+0028118|   18.20|  -30.70|1|SA 94-296
94 394     |12.273| 0.0028| 0.545| 0.0014|-0.047| 0.0014| 0.344| 0.0007| 0.330| 0.0014| 0.676| 0.0007|  2|  1|02 56 14.276|+00 35 11.57|31973543|J02561427+0035116|   -5.70|    1.20|1|SA 94-394
94 401     |14.293| 0.0014| 0.638| 0.0028| 0.098| 0.0120| 0.389| 0.0064| 0.369| 0.0035| 0.759| 0.0099|  2|  1|02 56 30.800|+00 40 06.88|31973559|J02563080+0040068|   -9.30|   -5.50|1|SA 94-401
94 242     |11.725| 0.0005| 0.303| 0.0005| 0.110| 0.0012| 0.176| 0.0005| 0.184| 0.0006| 0.362| 0.0007|123|116|02 57 21.211|+00 18 38.67|31800460|J02572121+0018387|  -10.10|    3.70|1|SA 94-242
BD -2 524  |10.304| 0.0006|-0.111| 0.0006|-0.621| 0.0019|-0.048| 0.0004|-0.060| 0.0006|-0.108| 0.0006| 88| 78|02 57 39.679|-01 59 48.58|31100004|J02573967-0159485|    4.80|   -2.50|1|BD -2 524
94 251     |11.204| 0.0005| 1.219| 0.0006| 1.281| 0.0018| 0.659| 0.0003| 0.586| 0.0004| 1.245| 0.0005|115|107|02 57 46.982|+00 16 02.72|31800477|J02574699+0016026|   24.90|   -7.30|1|SA 94-251
94 702     |11.597| 0.0006| 1.416| 0.0007| 1.617| 0.0028| 0.757| 0.0004| 0.675| 0.0004| 1.431| 0.0005|114|106|02 58 13.362|+01 10 54.30|32140129|J02581336+0110543|   -0.90|   -3.40|1|SA 94-702
GD 50      |14.063| 0.0032|-0.276| 0.0036|-1.191| 0.0051|-0.147| 0.0042|-0.180| 0.0079|-0.325| 0.0102| 47| 28|03 48 50.190|-00 58 32.00|        |J03485018-0058320|   89.00| -166.00|3|GD 50
95 15      |11.302| 0.0007| 0.712| 0.0007| 0.157| 0.0035| 0.424| 0.0014| 0.385| 0.0014| 0.809| 0.0028|  2|  1|03 52 40.330|-00 05 22.77|31621836|J03524033-0005228|   -5.30|  -18.00|1|SA 95-15
95 16      |14.313| 0.0120| 1.306| 0.0160| 1.322| 0.0310| 0.796| 0.0135| 0.676| 0.0060| 1.472| 0.0090|  4|  2|03 52 40.630|-00 05 05.60|        |J03524062-0005056|  -18.00|  -22.00|2|SA 95-16
95 301     |11.216| 0.0012| 1.293| 0.0005| 1.298| 0.0020| 0.692| 0.0005| 0.620| 0.0007| 1.311| 0.0012| 51| 44|03 52 41.167|+00 31 21.44|31975890|J03524116+0031213|    1.80|  -10.60|1|SA 95-301
95 302     |11.694| 0.0020| 0.825| 0.0015| 0.447| 0.0056| 0.471| 0.0013| 0.420| 0.0011| 0.891| 0.0017| 29| 20|03 52 42.176|+00 31 17.71|31975891|J03524217+0031176|   39.20|  -44.10|1|SA 95-302
95 96      |10.010| 0.0015| 0.147| 0.0012| 0.077| 0.0027| 0.079| 0.0010| 0.095| 0.0011| 0.174| 0.0013| 71| 56|03 52 54.194|+00 00 18.82|31802696|J03525419+0000188|   13.40|   -2.00|1|SA 95-96
95 97      |14.818| 0.0007| 0.906| 0.0226| 0.380| 0.0212| 0.522| 0.0028| 0.546| 0.0191| 1.068| 0.0212|  2|  1|03 52 57.503|-00 00 19.28|31621852|J03525750-0000192|   -6.60|  -13.60|1|SA 95-97
95 98      |14.448| 0.0007| 1.181| 0.0014| 1.092| 0.0177| 0.723| 0.0092| 0.620| 0.0071| 1.342| 0.0163|  2|  1|03 53 00.230|+00 02 48.40|        |J03530022+0002483|  -24.00|  -64.00|2|SA 95-98
95 100     |15.633| 0.0283| 0.791| 0.0785| 0.051| 0.1132| 0.538| 0.0144| 0.421| 0.0572| 0.961| 0.0439|  3|  1|03 53 00.791|+00 00 15.81|31802701|J03530078+0000158|   10.40|   -3.00|1|SA 95-100
95 101     |12.677| 0.0028| 0.778| 0.0028| 0.263| 0.0099| 0.436| 0.0064| 0.426| 0.0064| 0.863| 0.0120|  2|  1|03 53 04.140|+00 02 49.50|        |J03530414+0002494|  -28.00|  -62.00|2|SA 95-101
95 102     |15.622| 0.0335| 1.001| 0.0803| 0.162| 0.0612| 0.448| 0.0115| 0.618| 0.0508| 1.065| 0.0618|  3|  1|03 53 07.588|+00 01 10.73|31802705|J03530758+0001108|    3.50|  -13.00|1|SA 95-102
95 252     |15.394| 0.0065| 1.452| 0.0257| 1.178| 0.0433| 0.816| 0.0090| 0.747| 0.0086| 1.566| 0.0131|  6|  3|03 53 10.636|+00 27 22.74|31802706|J03531063+0027227|    4.20|   -4.60|1|SA 95-252
95 190     |12.627| 0.0020| 0.287| 0.0017| 0.236| 0.0039| 0.195| 0.0017| 0.220| 0.0015| 0.415| 0.0021| 44| 22|03 53 13.251|+00 16 22.62|31802707|J03531324+0016227|    0.50|   -2.20|1|SA 95-190
95 193     |14.338| 0.0049| 1.211| 0.0063| 1.239| 0.0255| 0.748| 0.0042| 0.616| 0.0034| 1.366| 0.0058| 20| 10|03 53 20.593|+00 16 34.57|31802711|J03532059+0016347|    9.90|  -10.00|1|SA 95-193
95 105     |13.574|       | 0.976|       | 0.627|       | 0.550|       | 0.536|       | 1.088|       |  1|  1|03 53 21.329|-00 00 18.64|31621873|J03532131-0000186|   -6.80|  -16.30|1|SA 95-105
95 106     |15.137| 0.0064| 1.251| 0.0615| 0.369| 0.0240| 0.394| 0.1520| 0.508| 0.0127| 0.903| 0.1407|  2|  1|03 53 25.190|+00 01 22.64|31802712|J03532518+0001227|    9.50|   -2.20|1|SA 95-106
95 107     |16.275| 0.0035| 1.324| 0.1068| 1.115| 0.1732| 0.947| 0.0438| 0.962| 0.0226| 1.907| 0.0212|  2|  1|03 53 25.660|+00 02 20.50|        |J03532565+0002204|    0.00|    0.00|2|SA 95-107
95 112     |15.502|       | 0.662|       | 0.077|       | 0.605|       | 0.620|       | 1.227|       |  1|  1|03 53 40.114|-00 01 11.42|31621885|J03534011-0001113|   -2.10|   -3.10|1|SA 95-112
95 41      |14.060|       | 0.903|       | 0.297|       | 0.589|       | 0.585|       | 1.176|       |  1|  1|03 53 41.201|-00 02 32.41|31621887|J03534120-0002323|   15.00|  -21.30|1|SA 95-41
95 42      |15.606| 0.0058|-0.215| 0.0073|-1.111| 0.0064|-0.119| 0.0075|-0.180| 0.0269|-0.300| 0.0276| 41| 18|03 53 43.680|-00 04 33.90|        |J03534367-0004338|  -20.00|  -96.00|2|SA 95-42
95 317     |13.449| 0.0035| 1.320| 0.0067| 1.120| 0.0131| 0.768| 0.0033| 0.708| 0.0012| 1.476| 0.0035| 24| 11|03 53 44.183|+00 29 50.02|31802727|J03534418+0029500|    7.70|  -11.00|1|SA 95-317
95 263     |12.679| 0.0030| 1.500| 0.0034| 1.559| 0.0094| 0.801| 0.0023| 0.711| 0.0011| 1.513| 0.0028| 19| 10|03 53 47.002|+00 26 40.82|31802729|J03534700+0026409|    2.90|   -9.80|1|SA 95-263
95 115     |14.680|       | 0.836|       | 0.096|       | 0.577|       | 0.579|       | 1.157|       |  1|  1|03 53 47.821|-00 00 47.39|31621893|J03534782-0000472|    6.10|   -8.40|1|SA 95-115
95 43      |10.803| 0.0022| 0.510| 0.0020|-0.016| 0.0027| 0.308| 0.0027| 0.316| 0.0018| 0.624| 0.0035| 16| 10|03 53 48.609|-00 03 01.74|31621894|J03534861-0003016|    5.40|  -12.70|1|SA 95-43
95 271     |13.669| 0.0057| 1.287| 0.0080| 0.916| 0.0127| 0.734| 0.0023| 0.717| 0.0023| 1.453| 0.0036| 15|  7|03 54 16.298|+00 18 52.20|31802749|J03541629+0018521|    7.20|   -4.00|1|SA 95-271
95 328     |13.525| 0.0029| 1.532| 0.0054| 1.298| 0.0186| 0.908| 0.0027| 0.868| 0.0015| 1.776| 0.0031| 23| 11|03 54 19.470|+00 36 31.79|31975937|J03541946+0036318|    7.10|   -3.20|1|SA 95-328
95 329     |14.617| 0.0047| 1.184| 0.0103| 1.093| 0.0311| 0.766| 0.0044| 0.642| 0.0094| 1.410| 0.0089| 13|  6|03 54 23.900|+00 37 07.10|        |J03542390+0037070|  -40.00|  -24.00|2|SA 95-329
95 330     |12.174| 0.0025| 1.999| 0.0026| 2.233| 0.0137| 1.166| 0.0020| 1.100| 0.0016| 2.268| 0.0028| 47| 23|03 54 30.757|+00 29 05.34|31802755|J03543075+0029052|    0.90|   -9.30|1|SA 95-330
95 275     |13.479| 0.0028| 1.763| 0.0054| 1.740| 0.0201| 1.011| 0.0022| 0.931| 0.0016| 1.944| 0.0025| 40| 20|03 54 44.246|+00 27 20.28|31802762|J03544424+0027203|    4.20|   -2.90|1|SA 95-275
95 276     |14.118| 0.0061| 1.225| 0.0102| 1.218| 0.0216| 0.748| 0.0040| 0.646| 0.0032| 1.395| 0.0051| 14|  7|03 54 45.878|+00 25 54.10|31802764|J03544587+0025542|   35.00|  -18.40|1|SA 95-276
95 60      |13.429| 0.0031| 0.776| 0.0031| 0.197| 0.0060| 0.464| 0.0029| 0.449| 0.0025| 0.914| 0.0034| 20| 10|03 54 49.540|-00 07 04.10|        |J03544954-0007041|   18.00|    0.00|2|SA 95-60
95 218     |12.095| 0.0034| 0.708| 0.0022| 0.208| 0.0034| 0.397| 0.0020| 0.370| 0.0020| 0.767| 0.0027| 20| 14|03 54 49.948|+00 10 08.39|31802765|J03544995+0010085|   -6.30|   -1.10|1|SA 95-218
95 132     |12.067| 0.0012| 0.445| 0.0013| 0.311| 0.0020| 0.263| 0.0010| 0.287| 0.0013| 0.546| 0.0020| 41| 35|03 54 51.685|+00 05 21.42|31802767|J03545169+0005213|   -2.70|  -10.10|1|SA 95-132
95 62      |13.538| 0.0030| 1.355| 0.0053| 1.181| 0.0136| 0.742| 0.0019| 0.685| 0.0019| 1.428| 0.0028| 22| 11|03 55 00.406|-00 02 54.09|31621933|J03550040-0002541|    0.80|   -1.90|1|SA 95-62
95 137     |14.440|       | 1.457|       | 1.136|       | 0.893|       | 0.845|       | 1.737|       |  1|  1|03 55 03.730|+00 03 26.70|        |J03550372+0003266|  -36.00|  -80.00|2|SA 95-137
95 139     |12.196| 0.0017| 0.923| 0.0046| 0.677| 0.0191| 0.562| 0.0023| 0.476| 0.0017| 1.039| 0.0035|  3|  2|03 55 04.670|+00 03 07.90|        |J03550467+0003078| -206.00|  -78.00|2|SA 95-139
95 66      |12.892| 0.0021| 0.715| 0.0071| 0.167| 0.0035| 0.426| 0.0007| 0.438| 0.0057| 0.864| 0.0049|  2|  1|03 55 06.519|-00 09 31.90|31621939|J03550651-0009320|    5.60|   -7.20|1|SA 95-66
95 227     |15.779| 0.0118| 0.771| 0.0289| 0.034| 0.0417| 0.515| 0.0115| 0.552| 0.0107| 1.067| 0.0150| 14|  7|03 55 08.760|+00 14 34.50|        |J03550876+0014345|   64.00|  -28.00|2|SA 95-227
95 142     |12.927| 0.0030| 0.588| 0.0030| 0.097| 0.0036| 0.371| 0.0019| 0.375| 0.0017| 0.745| 0.0028| 22| 11|03 55 09.394|+00 01 20.57|31802779|J03550940+0001205|   -7.70|   -0.80|1|SA 95-142
95 74      |11.531| 0.0015| 1.126| 0.0013| 0.686| 0.0029| 0.600| 0.0013| 0.567| 0.0010| 1.165| 0.0013| 40| 35|03 55 31.141|-00 09 13.57|31621950|J03553114-0009136|    0.00|    2.10|1|SA 95-74
95 231     |14.216| 0.0043| 0.452| 0.0045| 0.297| 0.0071| 0.270| 0.0045| 0.290| 0.0053| 0.560| 0.0076| 26| 13|03 55 38.828|+00 10 43.42|31802795|J03553881+0010433|   -0.20|  -11.10|1|SA 95-231
95 284     |13.669| 0.0040| 1.398| 0.0078| 1.073| 0.0239| 0.818| 0.0027| 0.766| 0.0036| 1.586| 0.0049| 20|  9|03 55 41.552|+00 26 37.73|31802796|J03554155+0026377|    9.00|   -0.50|1|SA 95-284
95 285     |15.561| 0.0071| 0.937| 0.0255| 0.703| 0.0636| 0.607| 0.0071| 0.602| 0.0064| 1.210| 0.0134|  2|  1|03 55 44.114|+00 25 09.96|31802799|J03554412+0025099|    2.90|   -8.10|1|SA 95-285
95 149     |10.938| 0.0051| 1.593| 0.0039| 1.564| 0.0095| 0.874| 0.0024| 0.811| 0.0017| 1.685| 0.0029| 17| 11|03 55 44.444|+00 07 02.91|31802800|J03554442+0007029|   21.50|  -20.00|1|SA 95-149
95 236     |11.487| 0.0004| 0.737| 0.0010| 0.168| 0.0021| 0.419| 0.0008| 0.412| 0.0004| 0.831| 0.0010| 43| 39|03 56 13.342|+00 08 47.06|31802821|J03561334+0008471|   14.70|   40.80|1|SA 95-236
96 21      |12.182| 0.0028| 0.490| 0.0007|-0.004| 0.0028| 0.299| 0.0057| 0.297| 0.0014| 0.598| 0.0035|  2|  1|04 51 15.760|-00 14 50.30|31625479|J04511575-0014502|    4.80|   -4.10|1|SA 96-21
96 36      |10.589| 0.0005| 0.247| 0.0006| 0.118| 0.0011| 0.133| 0.0005| 0.137| 0.0006| 0.271| 0.0008| 73| 63|04 51 42.401|-00 10 09.47|31625515|J04514239-0010095|  -13.80|   -0.70|1|SA 96-36
96 737     |11.719| 0.0009| 1.338| 0.0010| 1.146| 0.0022| 0.735| 0.0004| 0.696| 0.0006| 1.432| 0.0007| 62| 53|04 52 35.366|+00 22 30.03|31806521|J04523536+0022299|    6.10|  -11.70|1|SA 96-737
96 409     |13.778| 0.0106| 0.543| 0.0007| 0.042| 0.0240| 0.340| 0.0085| 0.340| 0.0049| 0.682| 0.0127|  2|  1|04 52 58.515|+00 09 04.14|31806547|J04525851+0009040|   13.10|  -17.00|1|SA 96-409
96 83      |11.719| 0.0005| 0.181| 0.0005| 0.205| 0.0015| 0.092| 0.0005| 0.096| 0.0008| 0.189| 0.0008| 76| 65|04 52 58.856|-00 14 41.18|31625601|J04525885-0014412|   -1.40|   -1.50|1|SA 96-83
96 235     |11.138| 0.0005| 1.077| 0.0007| 0.890| 0.0012| 0.557| 0.0003| 0.509| 0.0006| 1.066| 0.0005| 70| 60|04 53 18.870|-00 05 01.54|31625631|J04531887-0005015|    2.60|    1.20|1|SA 96-235
G97 42     |12.443| 0.0017| 1.639| 0.0035| 1.259| 0.0186| 1.171| 0.0025| 1.485| 0.0031| 2.655| 0.0033| 23| 11|05 28 00.150|+09 38 38.30|50060423|J05280015+0938382| -196.84| -759.52|5|G97-42
G102 22    |11.509| 0.0013| 1.621| 0.0027| 1.134| 0.0074| 1.211| 0.0034| 1.590| 0.0031| 2.800| 0.0042| 20| 10|05 42 09.273|+12 29 21.60|36065524|J05420897+1229252| 1988.50|-1571.70|1|G102-22
GD 71C     |12.325| 0.0017| 1.159| 0.0022| 0.849| 0.0057| 0.655| 0.0012| 0.628| 0.0013| 1.274| 0.0017| 19| 11|05 52 12.777|+15 52 44.30|37320715|J05521278+1552442|   -2.00|   -5.40|1|[L92b] GD 71C
GD 71E     |13.634| 0.0013| 0.824| 0.0027| 0.428| 0.0082| 0.472| 0.0012| 0.423| 0.0034| 0.892| 0.0037| 14|  7|05 52 20.510|+15 52 08.10|        |J05522051+1552080|   -4.00|  -26.00|2|[L92b] GD 71E
GD 71B     |12.599| 0.0018| 0.680| 0.0020| 0.166| 0.0026| 0.404| 0.0015| 0.399| 0.0016| 0.800| 0.0015| 19| 11|05 52 21.530|+15 52 41.61|37320756|J05522153+1552417|   -7.70|  -20.00|1|[L92b] GD 71B
GD 71D     |12.898| 0.0018| 0.570| 0.0020| 0.097| 0.0038| 0.359| 0.0017| 0.363| 0.0023| 0.719| 0.0024| 19| 11|05 52 24.788|+15 54 58.01|37320774|J05522479+1554581|   -1.00|   -3.00|1|[L92b] GD 71D
GD 71      |13.033| 0.0011|-0.248| 0.0009|-1.110| 0.0010|-0.138| 0.0009|-0.166| 0.0017|-0.304| 0.0021|129|115|05 52 27.619|+15 53 13.23|37320791|J05522761+1553137|   76.40| -171.00|1|GD 71
GD 71A     |12.643| 0.0013| 1.176| 0.0021| 0.897| 0.0051| 0.651| 0.0009| 0.621| 0.0009| 1.265| 0.0016| 24| 12|05 52 33.562|+15 51 59.38|37320816|J05523356+1551594|    0.80|   -4.60|1|[L92b] GD 71A
97 249     |11.735| 0.0007| 0.647| 0.0007| 0.101| 0.0011| 0.369| 0.0005| 0.354| 0.0006| 0.725| 0.0008|105| 98|05 57 07.560|+00 01 11.50|31814308|J05570756+0001115|   15.20|    1.20|1|SA 97-249
97 345     |11.605| 0.0015| 1.652| 0.0014| 1.706| 0.0092| 0.929| 0.0010| 0.843| 0.0007| 1.772| 0.0013| 30| 21|05 57 33.181|+00 21 16.54|31814355|J05573318+0021165|    7.50|   -6.00|1|SA 97-345
97 351     | 9.779| 0.0005| 0.201| 0.0006| 0.092| 0.0012| 0.124| 0.0005| 0.140| 0.0006| 0.264| 0.0007|136|117|05 57 37.294|+00 13 43.99|31814365|J05573729+0013440|   -0.20|   -0.90|1|SA 97-351
97 75      |11.483| 0.0038| 1.872| 0.0047| 2.100| 0.0101| 1.047| 0.0029| 0.952| 0.0016| 1.999| 0.0038| 20| 12|05 57 55.085|-00 09 28.55|31633143|J05575508-0009284|    3.00|   -6.00|1|SA 97-75
97 284     |10.787| 0.0006| 1.364| 0.0008| 1.089| 0.0020| 0.774| 0.0005| 0.726| 0.0005| 1.500| 0.0007|110|101|05 58 25.033|+00 05 13.57|31814455|J05582504+0005137|   -2.10|   -4.90|1|SA 97-284
97 224     |14.085| 0.0127| 0.910| 0.0177| 0.341| 0.0049| 0.553| 0.0120| 0.547| 0.0127| 1.102|       |  2|  1|05 58 44.042|-00 05 10.37|31633296|J05584404-0005104|   -3.30|  -16.00|1|SA 97-224
98 961     |13.089| 0.0021| 1.283| 0.0007| 1.003| 0.0014| 0.701| 0.0021| 0.662|       | 1.362| 0.0021|  2|  1|06 51 26.994|-00 15 36.06|31648881|J06512699-0015359|   -5.30|   -6.70|1|SA 98-961
98 966     |14.001| 0.0035| 0.469| 0.0014| 0.357| 0.0021| 0.283| 0.0014| 0.331| 0.0191| 0.613| 0.0205|  2|  1|06 51 28.304|-00 16 25.44|31648888|J06512830-0016254|   -5.30|   -7.40|1|SA 98-966
98 557     |14.780| 0.0007| 1.397| 0.0544| 1.072| 0.0269| 0.755| 0.0092| 0.741| 0.0297| 1.494| 0.0198|  2|  1|06 51 29.506|-00 25 06.29|31648906|J06512950-0025062|   -3.60|  -12.00|1|SA 98-557
98 556     |14.137| 0.0053| 0.338| 0.0053| 0.126| 0.0131| 0.196| 0.0057| 0.243| 0.0045| 0.437| 0.0090|  6|  3|06 51 29.537|-00 24 50.78|31648907|J06512953-0024507|    6.50|    0.00|1|SA 98-556
98 562     |12.185| 0.0028| 0.522| 0.0049|-0.002| 0.0035| 0.305| 0.0014| 0.303| 0.0014| 0.607|       |  2|  1|06 51 30.674|-00 18 58.70|31648914|J06513067-0018587|   -4.20|   -9.80|1|SA 98-562
98 563     |14.162| 0.0051| 0.416| 0.0085|-0.190| 0.0073| 0.294| 0.0044| 0.317| 0.0079| 0.610| 0.0082| 10|  5|06 51 31.543|-00 26 25.60|31648922|J06513154-0026255|    0.90|    3.00|1|SA 98-563
98 978     |10.574| 0.0004| 0.609| 0.0005| 0.094| 0.0011| 0.348| 0.0003| 0.321| 0.0004| 0.669| 0.0004| 96| 88|06 51 33.730|-00 11 31.53|31648936|J06513373-0011314|   24.80|  -29.70|1|SA 98-978
98 L1      |15.672| 0.0075| 1.243| 0.0462| 0.776| 0.0976| 0.730| 0.0110| 0.712| 0.0254| 1.445| 0.0318|  3|  2|06 51 39.022|-00 26 36.28|31648977|J06513902-0026362|   -4.40|    2.90|1|[L92b] SA 98 L1
98 580     |14.728| 0.0255| 0.367| 0.0185| 0.303| 0.0185| 0.241| 0.0125| 0.305| 0.0460| 0.547| 0.0395|  4|  2|06 51 39.760|-00 26 41.90|        |J06513975-0026418|    0.00|    0.00|2|SA 98-580
98 581     |14.556| 0.0246| 0.238| 0.0280| 0.161| 0.0200| 0.118| 0.0193| 0.244| 0.0197| 0.361| 0.0155|  7|  3|06 51 39.901|-00 25 41.86|31648985|J06513990-0025418|   -0.80|   -6.00|1|SA 98-581
98 L2      |15.859|       | 1.340|       | 1.497|       | 0.754|       | 0.572|       | 1.327|       |  1|  1|06 51 40.520|-00 21 59.00|        |J06514052-0021590|    0.00|    0.00|2|[L92b] SA 98 L2
98 L3      |14.614| 0.0145| 1.936| 0.0265| 1.837| 0.1450| 1.091| 0.0090| 1.047| 0.0070| 2.142| 0.0110|  4|  2|06 51 42.240|-00 15 55.30|        |J06514224-0015552|    0.00|    0.00|2|[L92b] SA 98 L3
98 L4      |16.332| 0.0580| 1.344| 0.0325| 1.086| 0.3429| 0.936| 0.0205| 0.785| 0.0368| 1.726| 0.0580|  2|  2|06 51 42.250|-00 16 21.30|        |J06514225-0016212|    0.00|    0.00|2|[L92b] SA 98 L4
98 590     |14.642| 0.0110| 1.352| 0.0120| 0.853| 0.0525| 0.753| 0.0050| 0.747| 0.0105| 1.500| 0.0135|  4|  2|06 51 42.973|-00 22 18.91|31649012|J06514297-0022187|    4.20|   -3.80|1|SA 98-590
98 1002    |14.568| 0.0055| 0.574| 0.0065|-0.027| 0.0110| 0.354| 0.0070| 0.379| 0.0125| 0.733| 0.0130|  4|  2|06 51 43.094|-00 15 52.20|31649016|J06514309-0015522|   -6.50|   -1.50|1|SA 98-1002
98 614     |15.674| 0.0424| 1.063| 0.0474| 0.399| 0.0311| 0.834| 0.0226| 0.645| 0.0368| 1.480| 0.0580|  2|  1|06 51 48.634|-00 20 32.52|31649072|J06514863-0020324|    4.50|    2.60|1|SA 98-614
98 618     |12.723| 0.0051| 2.192| 0.0075| 2.144| 0.0307| 1.254| 0.0035| 1.151| 0.0032| 2.407| 0.0045| 14|  7|06 51 49.579|-00 21 15.75|31649079|J06514957-0021156|   -0.50|   -8.10|1|SA 98-618
98 624     |13.811| 0.0141| 0.791| 0.0240| 0.394| 0.0042| 0.417| 0.0014| 0.404| 0.0212| 0.822| 0.0198|  2|  1|06 51 51.798|-00 20 16.03|31649094|J06515180-0020159|   -1.20|  -12.70|1|SA 98-624
